question,answer,crop,state,district,category
cultural practices of cucmber,explained briefly,,,,
micronuitirent for radish,spray tracel @ 2gm per litre of water,,,,
asking about the control of leaf curl disease,suggested him to spray malathion 50 ec @ 2ml/liter of water,,,,
asking about growth promoter of bhindi,advice to apply tracel 2 @ 2 gm / litre,,,,
asking about the cultivation practices of marigold,explain in details,,,,
asking about the eus disease.,apply cifax @ 150ml/bigha.,,,,
asking about the fertilizer dose for cowpea,"recommended to apply urea 4 kg/bigha,ssp 29 kg/bigha,mop 2 kg/bigha",,,,
control measure of algal bloom,advised to remove manually,,,,
query regarding aphid,advised to apply metador / tafdor / actara @ 2ml/lit,,,,
asking about remedy for leaf curl disease in gost chilli,"spray imidaclorpid @ 2gm/litre water,2 sprays at an interval of 5 days",,,,
asking that how to eliminate bitter quality in fruits of ridge gourd.,suggested to treat the seeds with 80 ppm succinic acid followed by two sprays one at five leaf stage and another at first pistillate flowering stage,,,,
query regarding micro nutrient for ridge gourd,advised to apply crop booster @ 2gm/lit & planofix @ 1ml/10lit,,,,
asking about the variety for cabbage,suggested him to buy seed from syngenta mahico company,,,,
asking aboput the fungal disease problem in garlic,application of caftaf @ 2ml per litre of water,,,,
query about lameness of a cow,advised 1.inj. neurobion forte @ 5ml.i.mly every alternate day for 7 times  2.ostovet @ 20-30ml daily with drinking water  3.massage the leg twice daily  4.hot fomentation daily,,,,
asking about varieties of brinjal and fertilizer dose.,"varieties are pusa purple long, pusa kranti and borbengena.

fertilizer dose are urea @14 kg, ssp@30 kg and mop@ 10 kg per bigha.",,,,
asking about dose of tricel.,suggested to mix 2 ml/liter of water and then spray.,,,,
asking about the premature nut dropping in coconut,"suggest him to apply 750 gm urea,1250 gm ssp and 875 gm mop",,,,
asking information related to pmkisan.,visit common service centre to link your aadhar to your account.,,,,
asking about treatment of cough in cow,suggested to administer caflon powder @50 gm thrice daily along with gur for five days.,,,,
asking about control measure of crown rot,suggested to spray saaf @ 2 g per lit of water,,,,
asking about fruit fly problem in bottle gourd,suggested to spray malathion 50 ec @ 2ml + 1 gm of molases/litre of water,,,,
query regarding guava flowering,advised to apply ethrel @ 2.5ml/10lit before flowering and planofix @ 2gm/10lit after flowering,,,,
asking about the control measure of spindle rot disease of coconut,suggested him to spray bevistin @2gm/lit of water,,,,
asking about bitter gourd query,recommended that application of rogor @2ml/lit of water,,,,
asking about the fertilizer doses in paddy,"suggested him to apply urea-18kg, ssp-17kg, mop-9kg per bigha",,,,
asking about the control measure to control leaf miner pest attack in bottle gourd cultivation,suggested to spray decis 2.8 ec @ 2 ml per litre of water followed by waiting period for 7-10 days,,,,
sucker treatment of banana before before planting,dip the roots of  banana plant in mud and then apply furadon @ 50 gm on the roots of banana plant before planting,,,,
wanted to know the names of hybrid varities of mustarad,"advised to se ts-36, ts-38 or m-27",,,,
asking about the fishery,told him to expert not available at this moment,,,,
asking about the vitamin for improving the health and growth of the bottle gourd plant,"suggested to apply vitamin tracel 2 @ 2g/ l of water , 2 spray 15 days interval or  mahaphal 2ml/l of water , 2 spray 15 days interval",,,,
asking for control of stemrot in betelvine,recommended him to drench the soil with blitox-50 @ 1 gram per 5 litre of water,,,,
asking about the control measure for termite in betel vine,recommended to spray tricel 20 ec(chloropyriphos) @ 2 ml/lit water at the base of the vine.,,,,
asking about the potato cultivation practices,explain in details,,,,
asked about the fertilizer dose of black pepper.,"suggested to apply compost @ 9kg, urea 225 gm, ssp 1kg, mop 100gm and lime 500 gm per plant. and also suggested to apply the fertilizer during the month of april.",,,,
asking about the seed treatment of tomato seeds against bacterial wilt.,advised him to treat the seeds with water for 10-15 minutes at 50-60 degree celcius.,,,,
asking about the control of root rot in brinjal,told him to spray saaf @ 1gm / l of water,,,,
asking about the medicine for goat,advice-anthrax vaccination-1ml s/c at  6months of age for goat. b.q vaccine-2ml s/c at 6 months of age,,,,
asking about the herbicide application in standing rice crop,advised to do hand weeding in rice field,,,,
asking for the preventive measure against fruit rot and drop in ash gourd.,suggested to spray dithane-z-78 @ 2 milli litre per litre of water.,,,,
query regarding  goat farming,wash the body coat with cutirose solution   give a course of antibiotic & steroid,,,,
asking for the control measure to control fruit borers in brinjal.,advised to spray decis 2.4ec @ 2 milli litre per litre of water and also suggested to grow garlic in between brinjal whenever he goes for his next cultivation of brinjal which lessers pests attack in brinjal.,,,,
control of fruit rot in chilli,spray captaf @ 3 gm per liter of water,,,,
regarding cultivation practice of squash,"apply fym @ 10kg,urea @ 100gm,ssp @ 120gm and mop @ 50gm per vine per year",,,,
asking about package of practice in cucumbar,suggested varieties like chinese green/  apple cucumber n explained in details about the ppackage of practice of the same.,,,,
asking aboutb the cultural practices of okra (bhindi),"advised him to select suitable varieties like arka anamika, pusa sawani, etc and apply fertilizers @ urea 6 kg, ssp 35 kg, mop 10 kg per bigha.",,,,
asking about the feeding scheduled of a goatery farm.,explained in details.,,,,
farmer asking query regarding fertilizer dose of mango.,"--fertilizer dose: fym- 20-25 kg, urea 1.5 kg, super 1.2 kg, potash 1.2 kg per plant.",,,,
spacing in french bean,maintain 1.5 ft from row to row and 1 ft from plant to plant,,,,
asking for control of fruit fly in bottle gourd,spray malathion 50 ec @ 2 mililiter per litre of water with 1% jagery,,,,
asking about control measure of downy mildew,recommended to spray saaf @ 2 g per lit of water,,,,
asking about current kisan schemes,"contact district agricultural office for the following schemes
pm kisan samman nidhi
pm mann dhan yojana",,,,
fihsery query,transfer to fishery expert,,,,
asking about cultural practices of garlic,explained him in details,,,,
query regarding  a cow reachig the full pregnency,prepare the site for parturation keep ready for post partum management,,,,
query regarding cultivation of potato,explained details,,,,
insect pest in okra,spray rogor @2ml/lit followed by indofil m 45@2ml/lit of water,,,,
query regarding management of blight in pumpkin.,pluck the excessively affected leaves from the plants and burn them in a separate place out from the field. spray copper oxychloride (blitox-50/ blue copper) 3 gram per liter of water 3 times at 5 days interval in the evening time in the absence of rain. if the insect is in control now the you can use neem oil 5ml/liter of water at 5 days interval.continue one vitamin like- mohaphol/sagorika/biovita 2 ml/liter of water @ 15 days interval up to the end of the season in the evening time in the absence of rain.,,,,
problem bacterial leaf blight in boro rice.,advised him to apply blitox 50 @ 2 gm / liter of water.,,,,
query regarding management of micro-nutrient.,advise to spray tracel 2 @ 2g/lt of water.,,,,
asking about use of growth regulator in boro rice,suggested to spray multiplex paddy @ 2gm/lit of water,,,,
asking about mukhya mantri krishi sa sajuli yojona and pm kisan samman nidhi yojona,--contact to district agriculture office,,,,
asking about vety problem,transfer to vety. expert,,,,
asking for name of hybrid var,recommended him arize 6444,,,,
application of micro nutrients in cauliflower.,i suggest him to spray tata trecel @ 2 gram per litre of water and spray borax 2 2 gram per litre of water.,,,,
want to know regarding higher production in ash gourd,advice to spray tracel-2 @ 2 g/lit of water,,,,
asking for the control of root rot of cauliflower,recommended to spray blitox 50 @ 2 gm per litre of water,,,,
query regarding disease of cat,transfer to veterinary expert.,,,,
asking about the varieties of saali paddy,explained in details,,,,
asking about the early variety of cabbage,recommended to grow golden acre,,,,
asking about chilli fungal infection,recommended to spray blitox @ 2gm/l water at 5 days interval for 3 days,,,,
asking about the control measure of root rot disease in chilli,advised to apply blitox-50 @ 2 gram per litre of water,,,,
package of practice,explained in detaisla,,,,
asking about micronutrient requirement for chilli,spray 'tracel-2’ @ 2 gm per litra of water,,,,
control of bacterial wilt in brinjal,advised to spray streptomycin @ 1gm/10l of water,,,,
asking about fertilizer dose of boro rice,"advice to apply urea 23 kg, dap 17 kg , mop 13 kg / bigha",,,,
asking about the nutrition of citrus,advised him to spray citrus special @ 2 ml/lit of water,,,,
asking about control of borer in paddy,advice to apply classic 20 @ 2ml /l of wayer,,,,
micronutrient for paddy,advised to spray paddy special @ 2gm/l of water,,,,
"query regarding some localchicken  showing the signs of drooping of wings & debility , age group 1- 1 & 1/2 months","give tetracycline @ 1 g/ lits of water for 4 days , the water  should be mixed with ors , in the 2 nd half give vitaplex @ 10 ml / lits ofwater for 4 day",,,,
asking about  control of bacterial wilt in brinjal,advice to apply plantomycine @ 1ml/10l of water,,,,
asking cultural practices,explain in brief,,,,
asking about the water management in mustard,explain in details,,,,
asking about the topdressing of urea in rice,recommended him to use 4.5 kg urea/bigha 25-30 days after transplanting,,,,
asking about raceway culture,explained in details,,,,
asking about pm fasal bima yojana registration,"--visit common service centre or district agriculture office with land documents, pan card, aadhar card and bank passbook for registration. last date for pm kisan fasal bima yojana rabi season is 31st december 2020. premium is 1.5% if land size is greater than 1 ha and no premium need to be payed  if land size is less than 1 ha for assam. crops included are mustard, sugarcane, boro paddy and potato for assam. registration extended till 15th feb for boro rice and sugarcane",,,,
query regarding cultural practice of young tea,explained details,,,,
asking about the fertilizer doses for ash gourd.,use recommended doses of fertilizer - dap- 20 kg per bigha of land and potash 17 kg per bigha of land. mix the fertilizer 4-5 days before sowing the seed.,,,,
asking about the control measure of aphid in mustard,suggested him to spray rogor @2ml/lit of water,,,,
asking about the fertilizer in chillis,told him to spray npk @ 10gm / l of water,,,,
asking for time of fertilizer application in coconut,fertilizer in coconut to be applied twice in a year once in march-april and another in sept-oct.,,,,
asking about insects pest problem bhindi,application of chemida 2 ml per litre of water,,,,
asking about the vaccination schedule against  viral disease.,explain in details.,,,,
query regarding management of nutrient in mustard.,advise to apply urea:ssp:mop @ 12:30:3 kg/bigha.,,,,
asking about the fertilizer dose of jute,"apply 9,20,6 kg urea,ssp,mop /bigha",,,,
asking about fertilizer dose in coconut.,"suggested to mix urea 750gm, super 1250 gm, potash 900 gm borax 25 gm, and fym 20 kg and then give surrounding each plant.",,,,
asking about the fertilizer dose for chilli.,"advised him to apply 10 kg urea,33 kg ssp,13 kg mop & 1.3 tone compost at the time of land preparation & again 10 kg urea after 30-35 days of planting.",,,,
query regarding antracnose,advised to apply blitox 50 wp @ 2gm/lit,,,,
control measure of late blight disease in potato.,advised to apply antracol @ 2 gram / litre of water.,,,,
asking about cultural practices of boro paddy,"advice him to apply urea 18 kg ,ssp 27 kg ,mop 11kg",,,,
nutrients for pumpkin,npk mixture (19:19:19) 10gm per litre of water,,,,
asking about pm kisan samman nidhi yojona.,"please update your adhar number in your
registration form and also link the number with your provided bank account at
common service center or any internet cafe near to you.",,,,
bacterial wilt of tomato,advised to spray streptomycin @ 1 gram / 10 litre water,,,,
asking about control measure of  leaf curl disease in chilli,apply rogor @ 2 ml per litre of water,,,,
fish seed,explain in detail,,,,
asking for the control measure against anthracnose disease in chilli.,'dithane m-45' or 'captaf' solution @ 2 grams per 1 litre of water has been suggested to spary on the crop.,,,,
asking control of cut worm attack in betel vine,spray neem gold/multinemor @ 5 ml per litre of water,,,,
asked about control of fruit rot in jackfruit,suggested to apply indofil m-45@2.5 gm/litre,,,,
query regarding pumkin cultivation,expalined details,,,,
query regarding animal husbandry problem,transfered to an expert,,,,
asking about the varieties of tomato,recomended to use namdhari 6,,,,
asked about control measures of fish mortality in pond.,adviced him to apply 300-500gm of pottas or120gm of cifax in 1bigha area of water.,,,,
ask fert dose,suggested propper dose.,,,,
asking about the control measure to control anthracnose disease of chilli.,suggested to apply dithyane m-45@2.5 gram/liter of water.,,,,
anestrous,give 1. minfa @ 20 g per day for 20 days 2. prajana @ 3 tab orally and another 3 tab after 11 days,,,,
fertilizer requirment in tall variety of paddy as basal dose,"apply 3 kg urea, 8 kg ssp and 2 kg mop per bigha as basal dose",,,,
asking control of rhinoceros beetle attack in coconut tree,apply malathion 5% dust  mixing with equal quantity of sand,,,,
asking about the micro-nutrient  in pumpkin.,suggested to apply tracel 2 @ 2gm per litre of water.,,,,
asked about the control measure of rice stem borer.,suggested to spray the crop with chiorpyriphos 20 ec @ 2 ml per liter of water.,,,,
"asking about application of vitamin in cowpea, application of flower initiating hormone in cucumber.","suggested to spray mahafal in cowpea mixing 2 ml in 1 litre of water and spray 2 times at 15 days interval.
spray planofix in cucumber mixing 1 gram in 5 litres of water and spray 2 times at 15 days interval.",,,,
asking about the  control measure of aphid in ridge gourd,suggested him to apply malathion @2ml/lit of water,,,,
asking about fertilizer dose of bhindi,"urea 14 kg, 41 kg super, 11 kg potash, 2 qtl. fym",,,,
asking for any plant protection measure against furit borers in brinjal.,'profex' solution @ 1.5 milli litres per litre of water has been suggested to spray as the control measure against fruit and shoot borers in brinjal.,,,,
want to know regarding cultivation of potato,"advice to go for potato variety like kufri jyoti, kufri chandramukhi. apply urea 18 kg, ssp 35 kg, potash 12 kg per bigha of land",,,,
asking where to avail training on bee keeping,"advised to contact with krishi vigyan kendra,howli and also to contact with khadi and village industries commission for training",,,,
asking about control for stem borers in bottle gourd and vitamin for ridge gourd,"suggested to spray malathion @ 2ml/litre water,2 spray at an interval of 5 days and mahaphal @ 2ml/litre water for good fruiting in ridge gourd",,,,
farmer asking query regarding control of fruit rot in chilli.,spray propiconazole fungicide @ 2 ml/liter 3 times at 5 days interval in absence of rain.,,,,
asking about spacing,45 cm,,,,
asking about the control measure of stem borer pest attack in paddy,advised to spray tricel 20 ec @ 2 ml / litre of water,,,,
asking about fertilizer doses of tomato.,"suggested fertilizer doses as urea-20kg,ssp-50kg,mop-14,compost-1tone for tomato.",,,,
diseases in cauliflower,adviced to apply streptocycline @ 1 gm per ten liter of water,,,,
query regarding variety of cucumber.,"advise to grow varieties like chinese green, aauc 1, aauc 2and poinsette etc.",,,,
asking about almond,recommended to spray dimethoate 20ec (rogor or tapgor)@2ml/l water,,,,
asking that what is vermicompost and what are its uses?,"replied that vermicompost is the end-product of the breakdown of organic matter by some species of earthworms which is a nutrient rich, natural fertilizer and soil conditioner too. regardinmg it uses, replied taht it improves the soil condition, increases the crop yield & crop quality, enhances soil structure, nutrients available to plants etc.",,,,
asking about the bordeaux mixture preparation,suggest him to use 10 gm copper sulphate and 10 gm lime in 1 litre of water.,,,,
asking about calcium suppliment for duck.,suggested to administer ostovet @ 1 ml twice daily for 10 days.,,,,
asking about treatment of conjunctivitis in goat.,suggested to give ciplox eye drop @ 4 drops in each eye twice daily for five days.,,,,
call related to agriculture,"slightly cloudy sky but no rain forecast during 30 dec-03
january’18. mainly easterly wind with speed of 3-5 kmph is
expected. the maximum temperature predicted as 25, 25, 25,
25 and 25 deg c and minimum as 11, 11, 11, 10 and 10 deg c
during 30, 31 december, 01, 02 and 03 january’17. the
expected morning and evening relative humidity is 78-81 %
and 30-34 % respectively.",,,,
query regarding phompsis blight of brinjal,advised to apply bevistin/saff/antracol @ 2gm /lit,,,,
tell me about taking soil sample ?,deeg 6-9 inch deep `v` shape pit and tacking 500 gm soil sample for testing soil,,,,
transferred the call to veterinary expert,told him to spray q for all & 5 ml /  lits of water  on the floor & side wall including the cage / nest --after 5 days spray  topicure on the side wall & floor,,,,
agri related qwerry,given to the expert,,,,
query regarding control measures of leaf minner in paddy,recommended to spary actara @ 2 ml per litr of water,,,,
query regarding wilt of mustard,advised to apply kavvach or index @ 2gm /lit,,,,
query regarding pmkisan.,"5th installment payment stoped by state on request of districts. so, please visit your nearest agriculture office for further enquiry. correction is pending at state.",,,,
problem of fungal wilt in sponge gourd.,advised him to apply bavistin @ 1 tea spoon / 3 litre of water.,,,,
asking about the fertilizer doses in mustard,"suggested him to apply urea-12kg, ssp-30kg, mop-3kg, borax-1kg per bigha",,,,
query regarding fungal attack,recommended to spray indofil m 45@ 2gm/l water,,,,
query regarding feeding practice of carp,adviced to fed @ 3% body weight,,,,
asking for the control measure against leaf eating caterpillars in cabbage crop cultivation.,malathion 50 ec solution @ 1.5 milli litres in 1 litre of water has been suggested to spray.,,,,
wanted to know the hubrid varities of mustard,"advised to use ts-36, ts-38, varuna or m-27",,,,
query regarding control measures of blight in potato,recommended to spray redomil gold @ 2 ml per litr of water,,,,
asking about the control measure of immature fruit drop problem in coconut at the age of six years.,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk",,,,
asking about cultural practices of rice,explained in details,,,,
asking about the fertilizer dose of coconut.,"recommended him to apply 1.5 kg urea, 2.5 kg ssp , 1 kg mop and 80 g borax per plant per year in 2 split doses in ring system.",,,,
asking for the fertilizer dosage in terms of per plant of lemon to be applied in the 4th year stage.,"1320, 2500 and 968 grams of urea, ssp and mop has been advised in terms of per plant of lemon to be applied in the 4th year stage along with 20 kilo grams of fym in two equal parts. omce in march-april and the other part in october- november.",,,,
asking about the treatment of mastitis.,suggested to apply the mastilep cream over the affected area  twice a day after cleaning.,,,,
asking about whitefly infestation in chilli and boron deficiency in papaya,"recommended to spray rogor @ 2ml/l water 3 doses at 5 days interval
apply borux @ 50gm per plant at the base and dry cowdung",,,,
asking about growth hormone in chilli,told him spray 1ml/5lit of water,,,,
asking about improving the productivity of sali rice,recommended to apply paddy special @ 4 ml per lit of water,,,,
asking about control of fungal infection.,"spray indofil m 45 @2gm/l water, 2 spray at 5 days interval.",,,,
asking about cultural practices of lentil,"recommended to used variety b-77, l-9-12, pl 406
sowing time - mid october to mid first week of dec
fertilizer- urea- 4.5 kg, ssp- 30 kg and mop-0 kg per bigha 
seed rate- 4 kg/bigha.",,,,
asking about the folier spray,suggested him to add 50gm urea/liter of water,,,,
call related to animal husbandry,"date	rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
26 apr	0	34.5  / 21.5	41.0  / 46.0	16.7
27 apr	11.0	36.0  / 22.0	37.0  / 0	3.0
28 apr	10.0	33.0  / 21.0	43.0  / 0	2.0
29 apr	16.0	29.0  / 20.0	67.0  / 0	3.0
30 apr	18.0	29.0  / 20.0	66.0  / 0	2.0
01 may	21.0	28.0  / 20.0	69.0  / 0	2.0",,,,
control of bacterial wilt in brinjal,soil drench with streptomycin @ 1 gm per 10 liter of water,,,,
asking about cultivation practices of rice,explained him in details,,,,
asking about broiler construction of broiler shed.,explain in details about the construction of broiler shed and suggested to contact with nearest veterinarian.,,,,
want to know about fertilizer requirment in coconut,"adviced to apply urea 750 gm, 1250 gm ssp, 800 gm mop, 25 gm borax and 10 kg fym per plant",,,,
"asking about pradhan mantri fasal bima yojana,","suggestion- schemes like pradhan mantri fasal bima yojana, pm kisan etc registration mode will be offline, contact person- ag.ext. asst, block technology manager documents - land documents, pan card, bank passbook etc",,,,
pm kisdan,"visit csc- common service center, contact with vle- village level extension for further online process process of the scheme.
benefits-= 3000/- per month pension after attaining the age of 60 years.
50 % for wife in case of unusual circumtances of the subscriber / farmer.
eligibility criteria= a person should not belong to govt service/ retired/ income tax payer
- specially for small and marginal farmer , should not posses more than 15 bigha of land.
important documents=
farmers/ spouse name
farmers/ spouse date of birth
bank account number 
ifsc/ micr code 
mobile number
aadhar number
other farmers informations available in the passbook.",,,,
cultural practices of coconut,explained briefly,,,,
farmer asking query regarding nutrient management in spine gourd.,sprays vitamins like -biovita/ mohaphol/ sagorika 2ml /liter of water @15 days interval in the evening time and to be continue up to the season end.,,,,
asking about time of sowing of sali rice,10 jun-30 jun,,,,
asking about seed storage of potato.,recommended him to apply maleic hydrazide @ 1 g per 5 liter of water.,,,,
pest problem in paddy,adviced to spray chloropyriphos @ 2 ml per litre of water,,,,
asking about fruit borer in brinjal,suggested to spray rocket @ 2ml/litre of water,,,,
asking about the control measure of fruit fly.,suggested to apply the malathion 50ec @ 2ml/lit of water.,,,,
asking about gundhi bug problem,advice to spray jackpot @ 1.5 ml/l water,,,,
asking about treatment of mastitis of a cow.,suggested him to administer m-ceft inj i/mly.along with that administer ketop inj @4ml i/mly for 5 days.,,,,
asking for the nutrient requirement of chilli,recommended to spray tracel 2 @ 2 gm per litre of water,,,,
asking for control of aphids attack,suggested to spray malathion 50 ec @ 2 ml/litre of water,,,,
asking about the control of leaf eating cater pillar in citrus,suggested him to spray rogor @ 2ml/liter of water,,,,
asking about the leaf curling disease in chilli,application of rogor @ 1.5 ml per litre of water,,,,
asking about the toll free from mobile to contact kissan call centre.,informed him that this project has already been launched and has been implemented throughout india.asked him to dial 1800 180 1551.,,,,
asking about the cultivation practices of mustard,explain in details,,,,
asking about pm kisan samman nidhi yojona.,"--your account is inactive. so you have to visit to your respective block or district agriculture office with your relevant documents like adhar card, bank account passbook and land documents along with a xerox copy of your beneficiery status form and have to tell the details problem to the nodel officer or other employee related to this schem. you also have to update your adhar number and have to link your adhar with your bank account.",,,,
want to know regarding blight disease in bitter gourd,advice to spray mancozeb @ 2 g/lit of water,,,,
query regarding control of pest,spray tricel @ 2 ml/l of water for three times at 5 days interval,,,,
query regarding pm kisan.,--wait.,,,,
asking about the seed rate . fertilizer requirement  of pea,"--apply 8 kg seed per bigha and urea 6 kg , super 38 kg in one bigha of pea plantation,",,,,
blight in tomato,adviced to apply ridomil mz 72 @ 2 gm per liter of water,,,,
control measure of blight in potato,spray indofil m 45 @ 2ml/ltr of water,,,,
asking about the control measure for root grabs in arecanut,"recommended to apply phorate 10g(thimet),15 gram/plant mix with soil.",,,,
"asking about the control measure against damping off disease in knol khol, brinjal etc.",advised him to spray bavistin @ 2 gm./litre of water.,,,,
control ulcer,advised him to apply sukrena ws @ 500ml / bigha water area,,,,
query regarding pmfby.,-- do online.,,,,
query regarding leaf curl in chillies,recommanded to spray rogor 2 ml / lits of water,,,,
fffffwante to know fertilizer needed in 1 bigha,16 kg urea 46 kg super 24 kg potash and 3 qt fym needed in 1 bigha,,,,
asking about identification of one type of coconut like tree,adviced to contact with nearest kvk,,,,
query regarding a two month pregnant cow showing the signs of bottle  jaw condition / may be   cyst/ may be tumour / may be crane bite -- history - use of anthelmintic before 4 month,"chance of bottle jaw condition is less since history reveal the use of anthelmintic, if ascitis -- suck out the fluid from the cyst with single puncture & preferably from the bottom side of the cyst, inject the same amount of suitable medicine inside the cyst after fully evacuate the cyst content, [ suppose 30 ml is evacuate from the cyst - then 30 ml of suitable medicine should be injected through the same needle without pulling out the needle ]",,,,
asking about the fish nutrition problem,application of lime in pond water,,,,
querry  regarding fungal infection,recommended to spray bavistin @ 2gm/l water,,,,
"asking about the variety,planting method,and fertilizer dose for banana","recommended variety dwarf cavendish,planting and row distance 1.4 mt and 1.4 mt,trim the seedling roots and apply furadon 3g mud slurry on root zone.apply urea ,ssp mop after 3 months and 5 months of planting",,,,
asking about pm fasal bima yojana registration,"--visit common service centre or district agriculture office with land documents, pan card, aadhar card and bank passbook for registration.",,,,
asking about the control measure to control termites attack in root portion of brinjal.,suggested to apply furadon 3g@10 gram/plant in ring method.,,,,
asking about lime and fertilizer does in fish pond of area 1 kotha,"recommended that application of lime @4kg/kotha/month,urea@3kg/kotha/month,ssp@6kg/kotha/month",,,,
asking for fertilizer requirement in a 8 year old coconut plant.,advised to apply 750 gram urea 1.25 kg super 875 gram potash 25 gram borax per plant at a distance of 3 feet around the plant as directed.,,,,
asking for hybrid varities name,advised to use pusa nasdar or surekha,,,,
query regarding fungal infection,recommended to spray bavistin @ 2gm/l water at 6 days interval,,,,
asking for nuresery bed preperation,explain in details and ask to follow as i advice,,,,
asked how to control fin rot disease  in fish .,gave him in details.,,,,
asking for the control measure against phytopthora leaf and rot in betel vine.,suggested to apply four drenches of bordeaux mixture @ 1% at monthly interval and eight sprays of bordeaux mixture @ 0.5% at 15 days interval as the control measure against phytopthora leaf and rot in betel vine.,,,,
asking about the control measure to control leaf curl disease in chilli.,suggested to spray rogor 35ec@2mililliter/liter of water followed by waiting period for 5-7days.,,,,
asking about availibality of  kuroiler  chicks for commercial purpose.,"suggested to contact with guwahati enterprise , khanapara  for availibility of  kuroiler chicks.",,,,
query regarding vaccine for local chicken,"told him to apply planofix @1 gram in 5 litres of water, twice at 15 days interval",,,,
asking about magur breeding in bundh system,advice him to consult with department of fisheries,,,,
asking about lime and fertilizer does in fish pond,"recommended to apply lime @10kg/bigha/month,cow dung @30klg/bigha/month,urea @1.5 kg/bigha/month,ssp @3kg/bigha/month",,,,
query regarding micronutrient problem in rice,adviced to apply crop booster paddy special 2.5ml/lit of water,,,,
asking about the in cow,explain in details,,,,
asking for the address of kvk kamrup,"programme coordinator -
dhirendra nath kalita 
ph no. 9435044574",,,,
asking about the control measure of shoot borer in lemon,suggested him to spray malathion @2ml/lit of water,,,,
query regarding control of rhizome rot in ginger,"seed rate: seed rhizome with one or two good buds weighing about 5g @ 1 q/bigha.
plant protection: rhizome (soft) rot: 
rhizome treatment with copper oxychloride (coc) @ 3g/lit + streptomycin (0.2g/lit) for 45 minutes followed by shade drying and planting and two soil drenching with coc @ 3g/lit at 60 and 90 days after planting against rhizome rot .",,,,
asking about management of water quality in fish pond,apply 'lime' @ 5 kg per bigha of water area,,,,
asked about the fertilizer dose of arecanut.,"suggested to apply urea 198 gm, ssp 250 gm, mop 233gm, borax 50 gm and fym 15 kg in two split doses onc during march april and the another during september octobar.",,,,
control of early blight in potato,advised to apply indofil z-78 @ 2 gram / litre of water,,,,
asking about initiation of flowering in litchi,recommended him to apply planofix @ 1g/5lit of water spray two time,,,,
query regarding disease in coconut,registered and transfered to expert for further consultation,,,,
query regarding ussd service,adviced to dial *491*103# to activate ussd service,,,,
query regarding management of sagoan,ask to visit kvk barpeta kvk (09435066295 ),,,,
asking about the treatment of root rot in tomato.,suggested to apply captan @ 2gm per litre of water.,,,,
asking about the control of fungal wilt,spray bavistin @ 2gram/litres of water,,,,
asking about the control measure to control powdery mildew disease in okra.,advised to spray sulfex@1tsf/liter of water.,,,,
asking about the control measure against bacterial wilt in brinjal.,advised him to drench the soil with streptomycin or agrimycin @ 1 gm./litre of water.,,,,
asking about the suppliment of mineral mix and calcium during pregnancy period for a piggery farm.,suggested to administer agrimin forte @ 1tsf and ostocalcium syrup @ 2 tsf rally daily for a month.,,,,
asking about the control measure of downy mildew disease in ridge gourd.,sugegsted to apply mancozeb @ 2gram / litre of water.,,,,
asking about the flower dropping in nutrient,application of borax @  25 gram sper plant per year,,,,
asking about sowing time of ash gourd,recommended to sow the seed in between feb - april,,,,
asking about the control measure of colour rot disease,suggested to spray blitox @ 2gm/liter water,,,,
asking about the control of yellow stem borer in rice,told him to  spray tricel 20 ec @ 2ml / l of water,,,,
asking about kisan call centre and various schemes for agricultural purposes,answer all in details,,,,
asking about the cultivation practice of chilli.,explained.,,,,
leaves drop,spray green harvest all harvest @ 2gm /lit,,,,
asking about the vitamin used in mustard.,suggest him to apply agrimin @ 2gm/lt of water.,,,,
query about rain-fall,there is no rain,,,,
asking about the control of cercospora leaf spot disease in chillies,suggested him to spray amister @ 1.5ml/liter of water,,,,
asking about the fertilizer doses of paddy tall variety,"suggestion=
urea-10 kg/ bigha
dap-6 kg/ bigha
mop-4 kg/ bigha
urea should be apply in 2 split doses.",,,,
"asking about pond fertilization,feeding,stocking","recommended to apply cowdang @100 kg/bigha/month,urea@ 10kg/bigha/month,ssp@ 20 kg/bigha/month.feedingrice burn,mustard oil cake apply@ 2:1 ratio.stocking fingerling 1000-2000 nos/bigha.",,,,
asking about the control measure of brown spot in paddy cultivation,suggested to apply balanced fertilizer dose and also to spray mancozeb @ 2.5 gram/litre of water or hinosan @ 1 mililitre / litre of water to protect at flowering stage from grain infection,,,,
chilly thrips,advised to spray malathion 50 ec @ 2 ml / litre water,,,,
asking for name of variety for boro rice,recommended him arize-6444,,,,
asking about some boro rice variety,suggested about the variety like arize 6444,,,,
asking about the time of plantation of betelvine,april to august is the best time for betelvine plantation.,,,,
asking for control of bacterial wilt,recommended him to drench the soil with streptomycin @ 1 gram per litre of water,,,,
asking about the control measure of stem borer.,suggested to spray monocrotophos @ 2ml/liter water.,,,,
asking about the control of insects in cowpea,told him to spray tufgor @2ml / l of water,,,,
asking about pm kisan installment,9th installment is pending by state govt.,,,,
asking about the package of practices for arize-6444 hybrid rice variety.,given in details regarding the package of practices.,,,,
